Bancs,camera,zone,Pop,5_degres_C_TMG_j,Aire_sous_la_courbe,15_j,16_j,17_j,18_j,19_j,20_j,21_j
4.0,3.0,43.0,803,15.17,4544.0,16.0,16.0,20.0,24.0,28.0,28.0,32.0
3.0,1.0,31.0,803,13.83,696.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
3.0,2.0,14.0,803,14.74,5480.0,12.0,20.0,32.0,36.0,36.0,36.0,36.0
3.0,3.0,46.0,803,16.45,3112.0,4.0,12.0,20.0,24.0,28.0,28.0,28.0
3.0,3.0,35.0,803,16.0,4392.0,12.0,28.0,28.0,32.0,32.0,32.0,36.0
4.0,3.0,33.0,803,17.58,2688.0,0.0,4.0,12.0,20.0,28.0,32.0,32.0
3.0,1.0,34.0,803,17.13,1896.0,4.0,8.0,8.0,12.0,12.0,20.0,20.0
3.0,2.0,16.0,803,17.02,3120.0,4.0,8.0,16.0,24.0,28.0,28.0,32.0
4.0,2.0,16.0,803,14.89,1784.0,8.0,12.0,12.0,12.0,12.0,12.0,12.0
3.0,4.0,26.0,803,17.11,1144.0,0.0,8.0,8.0,8.0,8.0,12.0,12.0
3.0,4.0,33.0,803,17.26,3304.0,4.0,12.0,16.0,24.0,28.0,32.0,36.0
3.0,3.0,15.0,803,17.44,3848.0,0.0,8.0,16.0,32.0,40.0,44.0,44.0
4.0,2.0,44.0,803,18.22,2472.0,4.0,4.0,8.0,16.0,16.0,24.0,36.0
3.0,3.0,35.0,803,15.98,4896.0,12.0,24.0,36.0,36.0,36.0,40.0,40.0
3.0,1.0,24.0,803,14.38,5152.0,12.0,16.0,24.0,28.0,32.0,32.0,32.0
4.0,2.0,44.0,803,16.11,2864.0,8.0,8.0,12.0,20.0,24.0,24.0,24.0
4.0,1.0,24.0,803,16.1,8136.0,24.0,36.0,48.0,64.0,64.0,64.0,68.0
4.0,3.0,16.0,803,16.81,7392.0,20.0,24.0,40.0,48.0,60.0,60.0,72.0
4.0,1.0,23.0,803,16.13,3808.0,12.0,12.0,20.0,24.0,28.0,28.0,32.0
3.0,2.0,21.0,803,18.61,2616.0,0.0,4.0,4.0,12.0,28.0,40.0,44.0
4.0,2.0,14.0,803,19.17,552.0,0.0,0.0,0.0,4.0,8.0,8.0,12.0
4.0,1.0,22.0,803,16.09,6232.0,12.0,24.0,40.0,48.0,48.0,52.0,52.0
3.0,3.0,13.0,803,17.28,2192.0,4.0,4.0,12.0,12.0,20.0,24.0,24.0
4.0,2.0,12.0,803,16.83,408.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0
3.0,2.0,11.0,803,16.79,1648.0,0.0,8.0,12.0,12.0,12.0,16.0,16.0
3.0,2.0,23.0,803,16.1,7648.0,4.0,20.0,48.0,56.0,60.0,64.0,64.0
3.0,1.0,14.0,803,16.84,6104.0,16.0,20.0,28.0,44.0,52.0,52.0,60.0
3.0,1.0,25.0,803,16.47,4432.0,8.0,20.0,24.0,32.0,32.0,36.0,40.0
3.0,2.0,45.0,803,16.08,3840.0,8.0,12.0,20.0,32.0,32.0,32.0,32.0
3.0,1.0,21.0,803,15.6,6840.0,24.0,32.0,36.0,44.0,44.0,48.0,52.0
4.0,1.0,26.0,803,17.22,3712.0,4.0,12.0,20.0,32.0,32.0,36.0,40.0
4.0,4.0,16.0,803,16.68,5072.0,16.0,20.0,24.0,32.0,44.0,48.0,48.0
3.0,2.0,44.0,803,15.19,4528.0,12.0,28.0,28.0,28.0,32.0,32.0,32.0
4.0,1.0,31.0,803,15.92,3968.0,12.0,20.0,28.0,28.0,32.0,32.0,32.0
3.0,4.0,44.0,803,14.98,11728.0,40.0,64.0,76.0,80.0,80.0,80.0,80.0
4.0,3.0,21.0,803,14.84,9584.0,32.0,52.0,52.0,56.0,64.0,64.0,64.0
3.0,2.0,46.0,803,15.55,5848.0,16.0,32.0,36.0,44.0,44.0,44.0,44.0
4.0,3.0,41.0,803,15.92,6944.0,12.0,32.0,40.0,56.0,56.0,56.0,56.0
3.0,1.0,44.0,803,15.59,4744.0,20.0,24.0,28.0,28.0,32.0,32.0,36.0
3.0,1.0,22.0,803,15.38,8216.0,28.0,36.0,56.0,56.0,60.0,60.0,60.0
4.0,4.0,41.0,803,16.06,8672.0,32.0,40.0,52.0,56.0,60.0,64.0,72.0
4.0,2.0,13.0,803,16.81,5336.0,0.0,16.0,36.0,44.0,44.0,52.0,52.0
3.0,3.0,23.0,803,16.01,8280.0,24.0,36.0,48.0,56.0,64.0,68.0,68.0
4.0,4.0,12.0,803,16.9,6432.0,12.0,20.0,44.0,48.0,56.0,60.0,64.0
